1980,3
1925,0
1859,9
1773,8
1698,5
1610,2
1533,2
1454,0
1374,0
1295,6
1214,3
1130,9
1055,9
972,5
893,3
812
728,6
653,6
570,2
491,0
409,7
326,2
251,3
167,8
104,6
63,7
59,6
70,9
2042,5
1968,5
1882,0
1799,6
1723,6
1639,1
1565,2
1478,6
1396,2
1320,2
1235,7
1161,8
1075,2
992,8
916,8
832,3
758,4
671,8
589,4
513,4
428,9
355,0
268,4
194,0
125,3
96,3
78,2
60,8
1804,8
1732,2
1662,3
1590,3
1517,3
1452,9
1379,1
1307,9
1237,2
1166,3
1102,8
1026,8
955,1
886,0
814,6
751,6
676,7
605,5
534,3
464,5
396,5
325,6
254,4
183,7
116,4
104,9
60,3
53,4
2023,7
1944,5
1863,2
1786,1
1704,8
1625,6
1546,4
1465,1
1388,0
1306,7
1227,5
1148,3
1067,0
989,9
908,6
829,4
750,2
668,9
591,8
510,5
431,3
352,1
270,8
193,7
117,1
107,8
64,2
76,8
1815,7
1744,2
1670,7
1604,7
1527,6
1458,9
1388,5
1316,0
1251,5
1171,2
1103,5
1032,6
961,7
892,6
815,8
750,2
677,2
608,4
530,3
460,4
395,9
321,3
251,4
174,9
126,6
101,9
85,7
62,0
1799,7
1723,0
1656,4
1588,6
1518,8
1443,8
1368,7
1301,0
1235,4
1161,0
1089,5
1015,4
946,6
883,1
799,7
735,2
663,2
591,8
527,2
445,4
379,8
308,9
236,4
174,4
121,2
106,6
79,2
75,4
1662,0
1595,0
1534,2
1471,5
1409,7
1348,3
1279,1
1215,6
1157,8
1094,3
1023,9
959,3
899,3
836,4
777,4
703,0
640,1
580,6
514,0
457,5
387,0
319,6
261,6
197,7
140,8
105,0
85,0
70,1
1663,3
1600,4
1536,6
1468,6
1394,8
1341,9
1271,5
1208,5
1141,6
1073,1
1018,3
944,8
884,8
816,3
745,7
692,8
619,3
559,2
493,9
421,2
368,9
295,9
236,4
169,5
127,4
109,8
75,1
56,2
1567,4
1510,1
1444,8
1384,7
1322,9
1264,2
1208,0
1137,1
1078,9
1017,1
958,9
899,5
830,7
772,6
712,3
653,6
595,8
526,0
468,9
407,6
348,4
292,1
221,2
165,7
118,2
102,7
75,4
63,2
1491,7
1438,6
1382,4
1315,0
1262,4
1203,0
1149,4
1089,9
1024,1
971,5
913,7
858,5
800,1
735,3
682,8
625,5
570,3
514,0
446,6
394,6
336,2
284,2
219,9
158,4
104,1
56,0
32,7
11,6
1518,8
1454,0
1399,5
1337,2
1283,2
1217,7
1155,3
1100,4
1032,9
977,4
915,1
852,2
796,7
730,8
674,3
611,9
544,5
492,4
425,5
370,0
306,6
239,2
186,6
129,7
76,5
46,0
25,0
7,1
1357,6
1305,8
1253,7
1197,9
1144,2
1088,2
1030,3
981,6
923,7
872,4
814,0
757,1
707,4
650,0
599,8
540,8
484,8
433,2
377,9
326,7
266,6
211,6
160,1
112,9
69,2
45,8
25,3
8,2
